datetime,day of week,total,Breads,Beverages,Desserts,Product Sold Category,Income Category
2019-09-26 14:23:00,Thur,24800,3,2,0,Bread-Heavy Sales Day,Medium
2020-01-27 12:32:00,Mon,21800,3,0,0,Bread-Heavy Sales Day,Medium
2019-08-26 16:11:00,Mon,22800,4,0,0,Bread-Heavy Sales Day,Medium
2019-10-19 11:17:00,Sat,29100,5,0,0,Bread-Heavy Sales Day,Medium
2019-08-22 11:48:00,Thur,14800,2,1,0,Bread-Heavy Sales Day,Low
2019-10-12 13:11:00,Sat,23800,3,2,0,Bread-Heavy Sales Day,Medium
2019-12-01 16:51:00,Sun,18300,3,1,0,Bread-Heavy Sales Day,Low
2020-04-29 12:00:00,Wed,21800,4,0,0,Bread-Heavy Sales Day,Medium
2019-10-20 14:24:00,Sun,16100,3,0,0,Bread-Heavy Sales Day,Low
2020-03-16 13:45:00,Mon,17000,3,0,0,Bread-Heavy Sales Day,Low
2019-09-01 13:56:00,Sun,14800,2,0,1,Bread-Heavy Sales Day,Low
2019-12-20 15:37:00,Fri,16800,3,1,0,Bread-Heavy Sales Day,Low
2019-11-13 11:05:00,Wed,22300,4,1,0,Bread-Heavy Sales Day,Medium
2019-08-18 12:04:00,Sun,20000,3,0,0,Bread-Heavy Sales Day,Medium
2019-10-23 13:56:00,Wed,14500,2,0,0,Bread-Heavy Sales Day,Low
2020-03-06 13:44:00,Fri,15800,2,1,0,Bread-Heavy Sales Day,Low
2020-03-25 11:05:00,Wed,19300,2,0,0,Bread-Heavy Sales Day,Low
2020-03-26 13:06:00,Thur,18300,2,1,0,Bread-Heavy Sales Day,Low
2019-11-18 11:11:00,Mon,18000,3,0,0,Bread-Heavy Sales Day,Low
2019-11-06 16:15:00,Wed,24800,2,1,0,Bread-Heavy Sales Day,Medium
2020-02-09 13:47:00,Sun,16300,4,0,0,Bread-Heavy Sales Day,Low
2020-01-09 16:00:00,Thur,14800,3,0,0,Bread-Heavy Sales Day,Low
2019-08-10 13:31:00,Sat,24400,5,0,0,Bread-Heavy Sales Day,Medium
2019-12-15 13:43:00,Sun,14000,1,0,0,Bread-Heavy Sales Day,Low
2020-02-08 15:22:00,Sat,22800,3,0,0,Bread-Heavy Sales Day,Medium
2019-12-20 11:18:00,Fri,16800,3,0,0,Bread-Heavy Sales Day,Low
2019-12-09 14:19:00,Mon,16600,2,1,0,Bread-Heavy Sales Day,Low
2019-12-12 14:34:00,Thur,16300,3,0,0,Bread-Heavy Sales Day,Low
2020-02-22 14:22:00,Sat,15100,3,0,0,Bread-Heavy Sales Day,Low
2020-05-02 14:45:00,Sat,24100,4,0,0,Bread-Heavy Sales Day,Medium
